minimum_nights,calculated_host_listings_count,neighbourhood_group,room_type,price
0.0,0.0,0.0,0.0,110
0.07142857142857142,0.02484472049689441,0.25,0.5,260
0.0,0.009316770186335404,0.5,0.0,40
0.14285714285714285,0.02484472049689441,0.0,0.0,52
0.07142857142857142,1.0,0.25,0.5,243
0.0,0.006211180124223604,0.25,0.5,250
0.4285714285714286,0.13043478260869565,0.25,0.0,120
0.0,0.037267080745341616,0.0,0.0,139
0.4285714285714286,0.13043478260869565,0.25,0.0,100
0.21428571428571427,0.006211180124223604,0.5,1.0,30
0.07142857142857142,0.0,0.0,0.0,63
0.21428571428571427,0.0031055900621118036,0.0,0.0,72
0.14285714285714285,0.009316770186335404,1.0,0.0,39
0.0,0.0,0.25,0.0,86
0.0,0.018633540372670804,0.25,0.0,155
0.0,0.006211180124223604,0.25,0.0,120
0.07142857142857142,1.0,0.25,0.5,234
0.0,0.0031055900621118036,0.0,0.0,69
0.07142857142857142,0.0,0.5,1.0,48
0.2857142857142857,0.009316770186335404,0.25,0.0,215
0.07142857142857142,0.0031055900621118036,0.5,0.0,45
0.07142857142857142,0.09006211180124223,0.0,0.0,55
0.07142857142857142,0.09006211180124223,0.0,0.0,65
0.0,0.0,0.0,0.0,100
0.0,0.0,0.25,0.5,174
0.07142857142857142,0.0,0.0,0.0,50
0.2857142857142857,0.02173913043478261,0.5,0.0,60
0.0,0.0031055900621118036,0.5,0.0,59
0.14285714285714285,0.012422360248447204,0.0,0.5,199
0.14285714285714285,0.02484472049689441,0.0,0.0,189
0.0,0.015527950310559004,0.25,0.0,45
0.21428571428571427,0.009316770186335404,0.25,0.0,75
0.0,0.0,0.5,0.0,50
0.0,0.006211180124223604,0.0,0.0,102
0.07142857142857142,0.006211180124223604,0.75,1.0,75
0.14285714285714285,0.0,0.25,0.0,79
0.4285714285714286,0.012422360248447204,0.0,0.0,40
0.07142857142857142,0.0,0.75,0.0,55
0.0,0.031055900621118012,0.25,0.0,300
0.0,0.031055900621118012,0.25,0.0,100
0.0,0.012422360248447204,0.25,0.0,70
0.0,0.006211180124223604,0.25,0.0,100
0.14285714285714285,0.009316770186335404,0.0,0.5,85
0.0,0.006211180124223604,0.5,0.0,53
0.07142857142857142,0.015527950310559004,0.0,0.0,65
0.0,0.015527950310559004,0.25,0.0,350
0.07142857142857142,1.0,0.25,0.5,263
0.07142857142857142,1.0,0.25,0.5,244
0.0,0.009316770186335404,0.5,0.0,45
0.0,0.0,1.0,0.0,142
0.0,0.02484472049689441,0.25,0.0,100
0.0,0.0,0.25,0.5,750
0.14285714285714285,0.09006211180124223,0.0,1.0,38
0.07142857142857142,1.0,0.25,0.5,228
0.07142857142857142,0.0,0.0,0.5,179
0.0,0.037267080745341616,0.0,1.0,35
0.07142857142857142,0.0,0.0,0.0,29
0.07142857142857142,0.0,0.5,0.5,134
0.2857142857142857,0.0,0.0,0.0,37
0.0,0.0031055900621118036,0.0,0.5,100
0.2857142857142857,0.0,0.0,0.0,37
0.07142857142857142,0.02484472049689441,0.25,0.5,220
0.07142857142857142,0.02484472049689441,1.0,0.0,68
0.07142857142857142,1.0,0.25,0.5,203
0.0,0.018633540372670804,0.25,0.0,155
0.0,0.0,0.5,0.0,35
0.21428571428571427,0.0,0.0,1.0,25
0.07142857142857142,0.006211180124223604,0.5,0.0,59
0.0,0.006211180124223604,0.0,0.0,60
0.07142857142857142,1.0,0.25,0.5,503
0.0,0.0031055900621118036,0.5,0.0,84
0.0,0.009316770186335404,0.25,0.0,100
0.0,0.0031055900621118036,0.0,0.0,55
0.0,0.0,0.25,0.5,240
0.0,0.031055900621118012,0.25,0.0,100
0.07142857142857142,0.0031055900621118036,0.0,0.0,68
0.0,0.02173913043478261,0.0,0.0,64
0.07142857142857142,1.0,0.25,0.5,203
0.07142857142857142,0.0031055900621118036,0.5,0.0,289
0.0,0.0,0.0,0.0,50
0.14285714285714285,0.13664596273291924,0.25,0.5,737
0.2857142857142857,0.0031055900621118036,0.0,0.0,140
0.07142857142857142,0.0031055900621118036,0.25,0.5,500
0.0,0.037267080745341616,0.0,1.0,35
0.07142857142857142,0.0,0.0,0.0,58
0.07142857142857142,0.009316770186335404,0.5,0.0,40
0.21428571428571427,0.0,0.0,0.0,88
0.0,0.02173913043478261,0.25,0.0,85
0.0,0.009316770186335404,0.5,1.0,39
0.0,0.0,0.5,0.0,45
0.14285714285714285,0.009316770186335404,0.0,0.0,75
0.07142857142857142,0.006211180124223604,0.5,0.0,50
